predict_time,window_id,actual_gt,is_anomaly
2007-01-01 00:00:00,1,False,False
2007-01-01 00:30:00,2,False,False
2007-01-01 01:00:00,3,False,False
2007-01-01 01:30:00,4,False,False
2007-01-01 02:00:00,5,False,False
2007-01-01 02:30:00,6,False,False
2007-01-01 03:00:00,7,False,False
2007-01-01 03:30:00,8,False,False
2007-01-01 04:00:00,9,False,False
2007-01-01 04:30:00,10,False,False
2007-01-01 05:00:00,11,False,False
2007-01-01 05:30:00,12,False,False
2007-01-01 06:00:00,13,False,False
2007-01-01 06:30:00,14,False,False
2007-01-01 07:00:00,15,False,False
2007-01-01 07:30:00,16,False,False
2007-01-01 08:00:00,17,False,False
2007-01-01 08:30:00,18,False,False
2007-01-01 09:00:00,19,False,False
2007-01-01 09:30:00,20,False,False
2007-01-01 10:00:00,21,False,False
2007-01-01 10:30:00,22,False,False
2007-01-01 11:00:00,23,False,False
2007-01-01 11:30:00,24,False,False
2007-01-01 12:00:00,25,False,False
2007-01-01 12:30:00,26,False,False
2007-01-01 13:00:00,27,False,False
2007-01-01 13:30:00,28,False,False
2007-01-01 14:00:00,29,False,False
2007-01-01 14:30:00,30,False,False
2007-01-01 15:00:00,31,False,False
2007-01-01 15:30:00,32,False,False
2007-01-01 16:00:00,33,False,False
2007-01-01 16:30:00,34,False,False
2007-01-01 17:00:00,35,False,False
2007-01-01 17:30:00,36,False,False
2007-01-01 18:00:00,37,False,False
2007-01-01 18:30:00,38,False,False
2007-01-01 19:00:00,39,False,False
2007-01-01 19:30:00,40,False,False
2007-01-01 20:00:00,41,False,False
2007-01-01 20:30:00,42,False,False
2007-01-01 21:00:00,43,False,False
2007-01-01 21:30:00,44,False,False
2007-01-01 22:00:00,45,False,False
2007-01-01 22:30:00,46,False,False
2007-01-01 23:00:00,47,False,False
2007-01-01 23:30:00,48,False,False
2007-01-02 00:00:00,49,False,False
2007-01-02 00:30:00,50,False,False
2007-01-02 01:00:00,51,False,False
2007-01-02 01:30:00,52,False,False
2007-01-02 02:00:00,53,False,False
2007-01-02 02:30:00,54,False,False
2007-01-02 03:00:00,55,False,False
2007-01-02 03:30:00,56,False,False
2007-01-02 04:00:00,57,False,False
2007-01-02 04:30:00,58,False,False
2007-01-02 05:00:00,59,False,False
2007-01-02 05:30:00,60,False,False
2007-01-02 06:00:00,61,False,False
2007-01-02 06:30:00,62,False,False
2007-01-02 07:00:00,63,False,False
2007-01-02 07:30:00,64,False,False
2007-01-02 08:00:00,65,False,False
2007-01-02 08:30:00,66,False,False
2007-01-02 09:00:00,67,False,False
2007-01-02 09:30:00,68,False,False
2007-01-02 10:00:00,69,False,False
2007-01-02 10:30:00,70,False,False
2007-01-02 11:00:00,71,False,False
2007-01-02 11:30:00,72,False,False
2007-01-02 12:00:00,73,False,False
2007-01-02 12:30:00,74,False,False
2007-01-02 13:00:00,75,False,False
2007-01-02 13:30:00,76,False,False
2007-01-02 14:00:00,77,False,False
2007-01-02 14:30:00,78,False,False
2007-01-02 15:00:00,79,False,False
2007-01-02 15:30:00,80,False,False
2007-01-02 16:00:00,81,False,False
2007-01-02 16:30:00,82,False,False
2007-01-02 17:00:00,83,False,False
2007-01-02 17:30:00,84,False,False
2007-01-02 18:00:00,85,False,False
2007-01-02 18:30:00,86,False,False
2007-01-02 19:00:00,87,False,False
2007-01-02 19:30:00,88,False,False
2007-01-02 20:00:00,89,False,False
2007-01-02 20:30:00,90,False,False
2007-01-02 21:00:00,91,False,False
2007-01-02 21:30:00,92,False,False
2007-01-02 22:00:00,93,False,False
2007-01-02 22:30:00,94,False,False
2007-01-02 23:00:00,95,False,False
2007-01-02 23:30:00,96,False,False
2007-01-03 00:00:00,97,False,False
2007-01-03 00:30:00,98,False,False
2007-01-03 01:00:00,99,False,False
2007-01-03 01:30:00,100,False,False
2007-01-03 02:00:00,101,False,False
2007-01-03 02:30:00,102,False,False
2007-01-03 03:00:00,103,False,False
2007-01-03 03:30:00,104,False,False
2007-01-03 04:00:00,105,False,False
2007-01-03 04:30:00,106,False,False
2007-01-03 05:00:00,107,False,False
2007-01-03 05:30:00,108,False,False
2007-01-03 06:00:00,109,False,False
2007-01-03 06:30:00,110,False,False
2007-01-03 07:00:00,111,False,False
2007-01-03 07:30:00,112,False,False
2007-01-03 08:00:00,113,False,False
2007-01-03 08:30:00,114,False,False
2007-01-03 09:00:00,115,False,False
2007-01-03 09:30:00,116,False,False
